"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal","var_uid"
"maturity_day_2","MDAT2","MDAT2",,,"Date of physiological maturity using alternate criteria","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,10,,768
"first_pod_set_date","PD1T","PD1T",,,"Growth stage of first pod, as date","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,769
"full_size_pod_date","PDFT","PDFT",,,"Growth stage of full-sized pod, as date","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,770
"beginning_bloom_stage","R1AT","R1AT",,,"Growth stage date, beginning bloom","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,771
"beginning_peg_stage","R2AT","R2AT",,,"Growth stage date, beginning peg","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,772
"beginning_pod_stage","R3AT","R3AT",,,"Growth stage date, beginning pod","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,773
"full_size_pod_stage","R4AT","R4AT",,,"Growth stage date, full-sized pod","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,"PDFT","SUMMARY",7005,1,99365,774
"beginning_seed_stage","R5AT","R5AT",,,"Growth stage date, beginning seed","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,775
"full_seed_stage","R6AT","R6AT",,,"Growth stage date, full seed","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,776
"beginning_maturity_date","R7AT","R7AT",,,"Growth stage date, beginning maturity","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,777
"harvest_maturity_stage","R8AT","R8AT",,,"Growth stage date, harvest maturity","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,778
"pod_over-mature_stage","R9AT","R9AT",,,"Growth stage date, pod over-mature","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,779
"tuber_initiation_stage","TDAT","TDAT",,,"Growth stage date, tuber initiation","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,780
"terminal_spikelet_stage","TSPD","TSPD",,,"Growth stage date, terminal spikelet","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,781
"zadoks_21_growth_stage","Z21D","Z21D",,,"Growth stage date, Zadoks 21","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,782
"zadoks_30_growth_stage","Z30D","Z30D",,,"Growth stage date, Zadoks 30","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,783
"zadoks_31_growth_stage","Z31D","Z31D",,,"Growth stage date, Zadoks 31","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,784
"zadoks_37_growth_stage","Z37D","Z37D",,,"Growth stage date, Zadoks 37","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,785
"zadoks_39_growth_stage","Z39D","Z39D",,,"Growth stage date, Zadoks 39","date","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,1,99365,786
"first_square_date","SQDAT","SQDAT",,,"Date of first square on plant","day","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,0,366,787
"anthesis_dap_stdev","ADAPS","ADAPS",,,"Standard deviation of anthesis DAP","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,,,788
"phys_mat_dap_stdev","MDAPS","MDAPS",,,"Standard deviation of physiological maturity DAP","dap","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,,,,,,,789
"growing_season_duration","GSLEN","GSLEN",,,"Length of time between planting and harvest dates","days","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_DEVELOPMENT",2502,"2020-06-08, CHP",,,,,,790
"harvest_yld_matur_dry_wt","HWAM","HWAM",1,,"Harvest yield at harvest maturity (dry wt)","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"HWAM","SUMMARY",7201,0,,791
"tops_dry_weight_maturity","CWAM","CWAM",2,,"Tops dry weight at maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"CWAM","SUMMARY",7202,0,,792
"tops_dry_weight_harvest","CWAH","CWAH",2,,"Tops dry weight at harvest","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"CWAH","SUMMARY",,0,,793
"roots_dry_weight_harvest","RWAH","RWAH",2,,"Roots dry weight at harvest","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2019-08-02, CHP","RWAH","SUMMARY",,0,,794
"plant_density_emergence","PLPAE","PLPAE",2,,"Plant density (population or stand) at full emergence, equivalent to initial stand count","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"PLPAE","SUMMARY",,,,795
"plant_density_maturity","PLPAM","PLPAM",2,,"Plant density (population or stand) at maturity","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2015-10-12, chp","PLPAM","SUMMARY",,0,,796
"plant_density_harvest","PLPAH","PLPAH",2,,"Plant density (population or stand) at harvest","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2015-10-12, chp","PLPAH","SUMMARY",,0,,797
"leaf_area_index_maximum","LAIX","LAIX",3,,"Leaf area index, maximum","m2/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"LAIX","SUMMARY",7211,0,,798
"grain_oil_conc_maturity","GL%M","GLPCM",,,"Grain oil concentration at maturity","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,50,799
"grain_protein_conc_matur","GPR%M","GPRCM",,,"Grain protein concentration at maturity","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,50,800
"grain_starch_conc_matur","GS%M","GSPCM",,,"Grain starch concentration at maturity","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,50,801
"grain_gluten_conc_matur","GG%M","GGPCM",,,"Grain gluten concentration at maturity","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,,,802
"purity","HPRH","HPRH",,,"Purity of sugar, e.g. extract from cane","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,100,803
"threshing_%_at_maturity","THAM","THAM",,,"Threshing % at maturity","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,100,804
"eye_weight","EWUM","EWUM",,,"Eye weight at harvest maturity","g/eye","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,,805
"lint_weight_maturity","LIWAM","LIWAM",,,"Lint weight at maturity","g/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,,806
"lint_fraction_maturity","LIFAM","LIFAM",,,"Lint fraction at maturity","g[lint]/g[harvested]","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,0,100,807
"fiber_length","FILEN","FILEN",,,"Fiber length","cm","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,0,,808
"fiber_uniformity","FIBUI","FIBUI",,,"Fiber uniformity index, ratio between the mean length and the upper half mean length of fibers","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,0,100,809
"fiber_strength","FISTR","FISTR",,,"Fiber strength","g[force]/tex","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,0,,810
"fiber_micronaire","FIMIC","FIMIC",,,"Fiber micronaire, measure of the air permeability of compressed cotton fibers, which indicates fineness and maturity","unitless","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,2.5,6,811
"fiber_color_grade_Rd","FICRD","FICRD",,,"Fiber color grade, HVI Rd reflectance","unitless","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,,,812
"fiber_color_grade_B","FICPB","FICPB",,,"Fiber color grade, HVI +B yellowness","unitless","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,,,813
"fiber_HVI_trash","FITRS","FITRS",,,"Percent of fiber surface area occupied by trash particles","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2021-05-03, CHP",,,,0,100,814
"fiber_elongation","FIELN","FIELN",,,"Fiber elongation, as percent above original length before breakage","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2025-05-15, JWW",,,,,,815
"harv_yld_grn_fr_pl_mat","GFPM","GFPM",,,"Harvest yield (grain, fresh), per plant at maturity","g/[plant]","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,,816
"grain_dry_wt_matur_plnt","GWPM","GWPM",,,"Grain dry wt at maturity, per plant basis","g/[plant]","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,,817
"unit_dry_wt_harv_matur","HWUM","HWUM",,,"Harvest unit dry (e.g., seed) weight at harv. maturity","g/unit","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,,818
"byprod_removed_at_matur","BWAM","BWAM",,,"By-product weight at maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"BWAM","SUMMARY",7203,0,,819
"tops_dead_dry_wt_anthes","CDWA","CDWA",,,"Tops+dead dry wt at anthesis","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,820
"cane_yield_harv","CFAH","CFAH",,,"Cane fresh yield at harvest","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,821
"chaff_dry_weight_harvest","CHWA","CHWA",,,"Chaff dry weight, harvest","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,822
"tops_dry_weight_anthesis","CWAA","CWAA",,,"Tops dry weight at anthesis","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"CWAA","SUMMARY",7101,0,,823
"tops_dw_mat_stdev","CWAMS","CWAMS",,,"Standard deviation of tops weight, maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,,,824
"harv_yld_grn_fresh_matur","GFAM","GFAM",,,"Harvest yield (grain, fresh), maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,825
"grain_dry_wt_at_maturity","GWAM","GWAM",,,"Grain dry wt at maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"GWAM","SUMMARY",7204,0,,826
"harv_yield_matur_f_wt","HFAM","HFAM",,,"Harvest yield at harvest maturity (fresh wt)","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,827
"yield_corrected","HWAC","HWAC",,,"Harvest yield corrected for various factors","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,,828
"leaf_dry_wt_at_maturity","LWAM","LWAM",,,"Leaf dry weight at harvest maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"LWAM","SUMMARY",7205,0,,829
"pod_dry_weight_maturity","PWAM","PWAM",,,"Pod dry weight at maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"PWAM","SUMMARY",7206,0,,830
"tot_dry_wt_at_harvest","TWAH","TWAH",,,"Total dry weight at harvest","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,831
"tot_dry_weight_maturity","TWAM","TWAM",,,"Total dry weight at maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,832
"tuber_dry_wt_at_harvest","UWAH","UWAH",,,"Tuber dry weight at harvest","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,833
"vegetative_dry_wt_matur","VWAM","VWAM",,,"Veg (leaf+stem) dry wt, maturity","kg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,834
"test_wt_fresh_maturity","GYFVM","GYFVM",,,"Test weight (fresh) at maturity","kg/l","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,835
"grain_ethanol_yield","GETM","GETM",,,"Ethanol yield of grain","l/kg","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,50,836
"canopy_height_anthesis","CHTA","CHTA",,,"Canopy height at anthesis","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"CHTA","SUMMARY",7110,0,5,837
"canopy_height_maturity","CHTM","CHTM",,,"Canopy height at physiological maturity","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"CHTM","SUMMARY",7210,0,5,838
"canopy_height_harvest","CHTH","CHTH",,,"Canopy height at harvest","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"CHTH","SUMMARY",7220,0,5,839
"canopy_height_max","CHTX","CHTX",,,"Canopy height, max value","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"CHTX","SUMMARY",7250,0,5,840
"canopy_ht_max_stdev","CHTXS","CHTXS",,,"Canopy height, std dev of max value","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,,,841
"plant_height_anthesis","PHTA","PHTA",,,"Plant height (e.g., including spikes above canopy per se) at anthesis","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2016-09-09, jww",,,,,,842
"plant_height_max","PHTX","PHTX",,,"Plant height (e.g., including spikes above canopy per se), maximum value in season","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2016-09-09, jww",,,,,,843
"plant_height_maturity","PHTM","PHTM",,,"Plant height (e.g., including spikes above canopy per se) at maturity","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2016-09-09, jww",,,,,,844
"ear_height_max","EHTX","EHTX",,,"Ear height, max value","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2014-03-17, chp",".",,,0,5,845
"ear_ht_max_stdev","EHTXS","EHTXS",,,"Ear height, std dev of max value","m","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2014-03-17, chp",,,,,,846
"grain_unit_dry_wt_matur","GWGM","GWGM",,,"Grain unit dry wt at maturity","mg","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,847
"tuber_fresh_wt_harvest","UYAFH","UYAFH",,,"Tuber fresh weight at harvest","mg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,848
"eye_no_per_unit_maturity","E#UM","EnoUM",,,"Eye number at maturity (per harvested unit, e.g. fruit)","number","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,,,849
"harvest_no_per_grp_matur","H#GM","HnoGM",,,"Harvest number per group at maturity","number","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,,,850
"harv_no_per_unit","H#UM","HnoUM",,,"Harvest number per unit at maturity (e.g., seed per spike or pod)","number","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"H#UM","SUMMARY",7214,,,851
"leaf_no_per_stem_matur","L#SM","LnoSM",,,"Leaf number per stem, at harvest maturity","number","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,,,852
"leaf_number_per_stem_max","L#SX","LnoSX",,,"Leaf number per stem, maximum","number","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,,,853
"eye_number_at_maturity","E#AM","EnoAM",,,"Eye number at maturity","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,854
"harvest_no_at_maturity","H#AM","HnoAM",,,"Harvest number per area at maturity (e.g., seed or tubers)","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,855
"pod_number_maturity","PD#AM","PDnoAM",,,"Pod, ear, panicle number per area at maturity","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,0,,856
"panicle_number_maturity","PN#AM","PNnoAM",,,"Panicle number per area at maturity","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,857
"tiller_number_maturity","T#AM","TnoAM",,,"Tiller number per area at maturity","number/m2","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,858
"fruit_fresh_wt_harvest","FFAH","FFAH",,,"Fruit fresh weight at harvest","Mg/ha","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,,859
"harvest_index_maturity","HIAM","HIAM",,,"Harvest index at maturity","unitless","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"HIAM","SUMMARY",7216,0,0.8,860
"pod_harv_index_maturity","HIPM","HIPM",,,"Pod, panicle, head or ear harvest index at maturity","unitless","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,"HIPM","SUMMARY",7224,0,0.8,861
"grain_moisture_maturity","GW%M","GWPCM",,,"Grain moisture at maturity","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,".",,,0,50,862
"grain_moisture_harvest","GW%H","GWPCH",,,"Grain moisture at harvest","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,"2020-11-19, chp",".",,,0,50,863
"harvest_moisture","HMAH","HMAH",,,"Moisture content of fresh yield (e.g., grain, fruit, leaves) at harvest","kg[water]/kg[harvest]","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,,,864
"dry_matter_content","DM%H","DM%H",,,"Dry matter content of fresh yield at harvest","%","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,,,865
"harvest_moisture_stdev","HMAHS","HMAHS",,,"Standard deviation of harvest moisture fraction","kg[water]/kg[harvest]","single","EXPERIMENT","MEASURED_DATA","SUMMARY","SM_GROWTH",2503,,,,,,,866
