"Variable_Name","Code_Display","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Dataset","Subset","Group","SubGroup","Set_group_order","Version_or_questions","DSSAT_synon","DSSAT_group","DSSAT_order","MinVal","MaxVal","var_uid"
"plot_layout","PLLAY","PLLAY",26,,"Plot layout or experimental design (e.g., ""RCBD with four blocks"")","text","memo","EXPERIMENT","METADATA","PLOT_DETAILS",,1071,,".",,,,,66
"constraints","CNSTR","CNSTR",1,,"Constraints known to affect crop performance","text","text","EXPERIMENT","METADATA","NOTES",,1081,,,,,,,67
"complications","CMPLC","CMPLC",2,,"Complications arising during experiment","text","text","EXPERIMENT","METADATA","NOTES",,1081,,,,,,,68
"experiment_rating","EXPER_RATING","EXPER_RATING",1,,"Rating of experiment for completeness, correctness, etc. (e.g., using AgMIP sentinal site rating system)","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,69
"exper_rating_system","RATING_SYS","RATING_SYS",2,,"Name of the system used to rate the data from the experiment ","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,70
"exper_rating_date","RATING_DATE","AGMIP_DATE",3,,"Date of rating","date","date","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,71
"exper_rating_person","RATER","AGMIP_RATER",4,,"Initials of person conducting the assessment","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,72
"orig_data_source","DATA_SOURCE","DATA_SOURCE",5,,"Original format of data (DSSAT, APSIM, CIMMYT, field log, etc)","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,73
"last_update","LAST_UPDATE","LAST_UPDATE",6,,"Date of last upload of information to experimental data","date","date","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,74
"crop_model_version","MODEL_VER","MODEL_VER",7,,"Crop model version related to experiment (if any)","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,75
"exper_rating_mgmt","RATING_MGMT","RATING_MGMT",8,,"Rating of experiment for management data","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,76
"exper_rating_observations","RATING_OBS","RATING_OBS",9,,"Rating of experiment for observed data","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,77
"exper_rating_soils","RATING_SOIL","RATING_SOIL",10,,"Rating of experiment for soil data","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,78
"exper_rating_weather","RATING_WTH","RATING_WTH",11,,"Rating of experiment for weather data","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,79
"exper_rating_notes","RATING_NOTES","RATING_NOTES",99,,"Deatailed explanations of reasons behind rating or other relevant information","text","text","EXPERIMENT","METADATA","RATINGS",,1091,"2025-07-02, JWW",,,,,,80
"suite_id","SUITEID","SUITEID",1,,"Suite identifiers","text","text","SUITE","METADATA","GENERAL",,8011,"2013-02-04, JWW",,,,,,81
"suite_name","SUITE_NAME","SUITE_NAME",1,,"Brief name of suite of experiments","text","text","SUITE","METADATA","GENERAL",,8011,"2015-11-24, CHP",,,,,,82
"suite_objectives_of_study","SUITE_OBJ","SUITE_OBJ",5,,"Objectives of the study","text","memo","SUITE","METADATA","GENERAL",,8011,"2014-04-07, CHP",".",,,,,83
"suite_main_experiment_factor","SUITE_MAIN_FAC","SUITE_MAIN_FAC",6,,"Main factor, factors or interactions of interest in an experiment","text","text","SUITE","METADATA","GENERAL",,8011,"2014-04-07, CHP",,,,,,84
"suite_experimental_factor_comb","SUITE_FACTORS","SUITE_FACTORS",7,,"Experimental factor combinations","text","text","SUITE","METADATA","GENERAL",,8011,"2014-04-07, CHP",".",,,,,85
"suite_experiment_type","SUITE_EXPER_TYPE","SUITE_EXPER_TYPE",9,,"General type of experiment, e.g., varietal trial","code","text","SUITE","METADATA","GENERAL",,8011,"2014-04-07, CHP",,,,,,86
"suite_distrib_restrictions","SUITE_DISTRIB","SUITE_DISTRIB",21,,"Distribution limitations for the data set","text","memo","SUITE","METADATA","GENERAL",,8011,"2013-02-14, CHP",".",,,,,87
"suite_keywords","SUITE_KEYWORDS","SUITE_KEYWORDS",3,,"Keywords for dataset","text","memo","SUITE","METADATA","GENERAL",,8051,"2015-11-24, CHP",,,,,,88
"suite_data_source","SUITE_DATA_SOURCE","SUITE_DATA_SOURCE",4,,"Original format of  data (DSSAT, APSIM, CIMMYT, field log, etc)","code","text","SUITE","METADATA","GENERAL",,8012,"2014-04-07, CHP",,,,,,89
"suite_citation","SUITE_CITATION","SUITE_CITATION",1,,"Full citation for experimental data","text","text","SUITE","METADATA","GENERAL",,8012,"2014-04-07, CHP",,,,,,90
"suite_license","SUITE_LICENSE","SUITE_LICENSE",1,,"License associated with experiment","text","text","SUITE","METADATA","GENERAL",,8012,"2014-04-07, CHP",,,,,,91
"suite_notes","SUITE_NOTES","SUITE_NOTES",3,,"Additional notes describing the datasets comprising a suite","text","memo","SUITE","METADATA","GENERAL",,8051,"2016-03-04, CHP",,,,,,92
"suite_researcher_address","SUITE_ADDRESS","SUITE_ADDRESS",4,,"Mailing address of researcher","text","memo","SUITE","METADATA","PERSONS",,8031,"2014-03-14, chp",,,,,,93
"suite_persons_notes","SUITE_PERSON_NOTES","SUITE_PERSON_NOTES",20,,"Additional notes on persons involved with the experiment(s)","text","memo","SUITE","METADATA","PERSONS",,8031,"2014-04-07, CHP",,,,,,94
"suite_email_address","SUITE_EMAIL","SUITE_EMAIL",7,,"E-mail address of researcher","text","text","SUITE","METADATA","PERSONS",,8031,"2014-04-07, CHP",,,,,,95
"suite_orcid","SUITE_ORCID","SUITE_ORCID",7,,"ORCId of researcher(s)","text","text","SUITE","METADATA","PERSONS",,8031,"2015-11-24, CHP",,,,,,96
"suite_institute_name","SUITE_INSTITUTION","SUITE_INSTITUTION",2,,"Names of participating institutions","text","text","SUITE","METADATA","INSTITUTIONS",,8041,"2014-04-07, CHP",,,,,,97
"suite_document_name","SUITE_DOCUMENT","SUITE_DOCUMENT",2,,"Document name in abbreviated form","text","memo","SUITE","METADATA","DOCUMENTS",,8051,"2014-04-07, CHP",,,,,,98
"suite_digital_object_id","SUITE_DOI","SUITE_DOI",3,,"Digital Object Identifier (DOI) according to international standard","text","memo","SUITE","METADATA","DOCUMENTS",,8051,"2014-04-07, CHP",,,,,,99
