"Code_display","Crop_code","Common_name","Latin_name","Major_use","Other_uses","Crop_comments","DSSAT_code","APSIM_code","AgTrials_code","Photosynthetic pathway","Repro_type","Daylength","Vernalization","Harvested_parts","When_harvested","N_fixation","Major_planting","Other_planting","Wikipedia","DSSAT_tree_node"
"CRID","TNP","Turnip","Brassica rapa","Vegetable",,,,,,"C3","Annual",,"Y","Root",,"N","Seed",,"https://en.wikipedia.org/wiki/Turnip","Vegetables"
"CRID","TOB","Tobacco","Nicotiana tabacum","Pharmaceutical",,,,,,"C3","Perennial",,,"Leaf",,"N","Seed",,"https://en.wikipedia.org/wiki/Tobacco","Various"
"CRID","TOM","Tomato","Solanumn lycopersicum","Vegetable",,"Formerly ""Lycopersicon esculentum""","TM","Tomato",,"C3","Annual","SD",,"Fruit",,"N","Seed",,"en.wikipedia.org/wiki/Tomato","Vegetables"
"CRID","TRT","Triticale","x Triticosecale ","Cereal, forage",,,"TL","Triticale",,"C3","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Triticale","Cereals"
"CRID","VBN","Velvet bean","Mucuna pruriens","Green manure",,"Mucuna","VB","Velvetbean","Mucuna","C3","Annual",,,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Mucuna_pruriens","Legumes"
"CRID","VIN","Wine grape","Vitis spp.","Fruit",,,"VI","Vine",,"C3","Perennial",,,"Fruit",,"N","Transplant",,"https://en.wikipedia.org/wiki/Vitis_vinifera","Fruit crops"
"CRID","VMG","Black gram","Vigna mungo","Pulse",,"Various small-seeded legumes of S Asia including urad bean, ulundu","VM",,,"C3","Annual","SD",,"Seed",,"Y","Seed",,"https://en.wikipedia.org/wiki/Vigna_mungo","Legumes"
"CRID","WHB","Bread wheat","Triticum aestivum","Cereal",,"Bread, pastries","WH","Wheat","Wheat","C3","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Common_wheat","Cereals"
"CRID","WHD","Durum wheat","Triticum turgidum durum","Cereal",,"Pasta","WH","Wheat","Wheat","C3","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Durum_wheat","Cereals"
"CRID","WHT","Wheat","Triticum spp.","Cereal","Forage","All types","WH",,,"C3","Annual",,,"Seed",,"N","Seed",,"https://en.wikipedia.org/wiki/Wheat","Cereals"
"CRID","WIL","Willow","Salix spp.","Bioenergy",,,,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Willow","Sugar/Energy"
"CRID","WML","Watermelon","Citrullus lanatus","Fruit",,,,,,"C3","Annual",,,"Fruit",,"N","Seed",,"https://en.wikipedia.org/wiki/Watermelon","Fruit crops"
"CRID","WNB","Black walnut","Juglans nigra","Nut",,,,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Juglans_nigra","Nut"
"CRID","WNT","Walnut","Juglans regia","Nut",,"English or Persian ",,,,"C3","Perennial",,,"Seed",,"N",,,"https://en.wikipedia.org/wiki/Walnut","Nut"
"CRID","YAM","Yam","Dioscorea spp.","Tuber crop",,"""Yam"" is often applied to sweet potato",,,,"C3","Annual",,,"Tuber",,"N",,,"https://en.wikipedia.org/wiki/Yam_(vegetable)","Root Crops"
"CRID","ZZ1","Cereal-unknown or mixture","NA","Cereal",,,,,,,,,,,,,,,,
"CRID","ZZ2","Legume-unknown or mixture","NA","Legume",,,,,,,,,,,,,,,,
"CRID","ZZ3","Grass-unknown or mixture","NA","NA",,,,,,,,,,,,,,,,
"CRID","ZZ4","Cover crop-unknown or mixture","NA","Cover crop",,,,,,,,,,,,,,,,
,,,,,,,"FC",,,,,,,,,,,,,
,,"[Sequence]",,,,,"SQ",,,,,,,,,,,,,
,,"[Seasonal]",,,,,"SN",,,,,,,,,,,,,
,,,,,,,"GS",,,,,,,,,,,,,
